상호명,지리정보체계(GIS) X좌표,지리정보체계(GIS) Y좌표,경도,위도
(주)서울에너지 서인천주유소,283313.2307,550377.9369,126.6772606133367,37.54824086634792
영종대교주유소(인천공항방향),277149.4401,551125.2982,126.60739804545929,37.554172127964215
KH에너지㈜직영 삼성주유소,263109.9684,568293.3247,126.4453357390192,37.70683223043497
SK에너지(주) 봉수대로주유소,281927.0,545703.0,126.662328021148,37.50595063844502
대성산업(주) 인천주유소,283055.0,544803.0,126.6752264063302,37.49798663104347
대성산업(주)서인천주유소,284595.0,550787.0,126.69169860611306,37.55208731082327
한밭산업㈜ 청라주유소,280659.0,544248.0,126.64822585429415,37.492680353124065
(주)오일드림주유소,281527.3121,555139.1108,126.65628476867697,37.59090310190823
대명에너지 청도2주유소,281046.8029,543936.4953,126.65266062284577,37.48992423140164
(주)늘품오일 한길셀프주유소,284808.0,558266.0,126.69293228134059,37.61948789570508
HD현대오일뱅크㈜직영 북인천ic셀프주유소,280864.0,550717.0,126.64949451239282,37.55098186549767
(주)유성주유소,261320.2039,575643.7128,126.42364265938008,37.77276889133606
구도일 검단신도시주유소,282134.7039,556058.5246,126.66301279849365,37.599263454579095
(주)디오티디 인천랍스터주유소,280464.332,557253.6572,126.64390582302964,37.609813900151394
인주대로주유소,288047.0,539197.0,126.73252246092133,37.448102617888765
보문주유소,285249.9,540845.3,126.7006605101407,37.46260872924917
신향주유소,287096.1182,539331.3158,126.72175751153001,37.449197033337065
크로바주유소,280535.6565,536435.1784,126.64809775426212,37.42228304483728
농장주유소,287060.6332,541428.2906,126.72103517756831,37.468083734307655
에스제이에너지,284895.0,532297.0,126.69798250749999,37.385555733834536
HD현대오일뱅크㈜직영 광장셀프주유소,286035.118,536518.5687,126.7102032370856,37.42372768692867
SK KH에너지 청도1주유소,284219.3367,540040.1336,126.68914017449168,37.45522680127574
SK셀프서비스주유소,281005.1393,539178.6401,126.65295819785844,37.44705798622107
(주)중앙에너비스 남동공단지점,285115.2849,534718.3313,126.70009319077948,37.40739618164851
서일석유(주) 수정주유소,285812.2277,537480.4542,126.70753673072545,37.43236556210748
원천제2주유소,291432.6767,551263.4307,126.768997429003,37.5572104476818
(주)한진 항동주유소,278610.37,539768.4809,126.62580302952222,37.45206028681507
(주)한진 인천터미널주유소,285275.0,538490.0,126.70131071798876,37.4413937781979
(주)정현에너지,288128.9425,547110.4109,126.73224556979642,37.51940216073374
엘림주유소,283331.0029,544881.9953,126.67833455359309,37.49873318169118
하점주유소,263056.0,575269.0,126.44340978031316,37.76965545278837
SK에너지(주) 드림파크주유소,281946.4,554803.4,126.66108323892789,37.58793278765357
현대주유소,288388.914,539686.9553,126.73631171967688,37.45255784222919
백운하이웨이주유소,285550.5676,544253.9107,126.70352862722675,37.493352873788886
씨앤에스유통(주) 청중로주유소,286110.0,546919.0,126.70944081431213,37.517430760460186
강화남부농협주유소,267254.2,560685.8,126.49370512127915,37.63891712251096
비전주유소,283704.0,541324.0,126.68311410187378,37.46672792435714
HD현대오일뱅크㈜직영 여울물셀프주유소,284540.197,542375.7152,126.69239994719679,37.476307234705715
SK KH에너지 아트샵가좌IC주유소,283404.8685,543078.8083,126.67945547209618,37.482498487216304
백령주유소,112139.0,601174.0,124.72199222871589,37.96766655761281
(주)태리 인천지점,283293.0814,549721.9379,126.6771369701346,37.54232880206822
우리주유소,284255.0,547504.6,126.68836907348874,37.522475261958526
공단주유소,281206.2907,543275.246,126.65457042700876,37.48398794773284
굿데이셀프주유소,288087.4303,546668.4818,126.73184336772705,37.515415938447006
청라에너지,282094.3922,549244.5205,126.66365248850676,37.5378754893186
현대오일뱅크㈜직영 영종셀프주유소,272688.6418,543982.7087,126.55816322190313,37.48922611445269
구도일주유소 청라국제도시,278782.4321,548400.3423,126.62632523295225,37.529841384200566
현대오일뱅크㈜직영 송도팰리스셀프주유소,278979.1219,533537.9148,126.63099113530309,37.39598099605566
(주)보문 북항IC주유소,280056.0687,545868.7532,126.6411449595077,37.507202550333844
그린에너지,289610.5567,550859.2352,126.74843921050805,37.553352635251656
송림주유소,280985.7858,543144.1686,126.65209893144304,37.482778761325044
서강화농협주유소,248857.3337,577279.5368,126.2818910235242,37.78552652309252
로드801 주식회사,281592.6207,533657.1575,126.66048163517351,37.39739286774829
온수주유소,266938.5202,559521.5341,126.49034140283979,37.62838426337176
HD현대오일뱅크㈜직영 가정셀프주유소,281947.6718,547765.2969,126.66223049679533,37.52453129795511
GS칼텍스(주)제2여객터미널점,260799.4732,543304.3328,126.4238925023393,37.48140028026182
대청주유소,110058.3622,586348.8407,124.70430678503632,37.83364806664006
자월주유소,251085.4968,517444.4227,126.3193001276315,37.24696012666806
선수촌주유소,286267.6326,538189.1074,126.71257217969922,37.43880570118612
HD현대오일뱅크㈜직영 논현주유소,288492.97,535123.8788,126.73817710453373,37.41146252026169
SK에너지㈜직영 스카이파크주유소,268033.7838,543373.0972,126.5056511488624,37.483081431394254
인천현대셀프 ㈜강남오일뱅크,282347.128,543389.5462,126.66744876330363,37.48516364115942
동일석유(주)행복드림주유소,290168.6865,536596.0048,126.7568836691405,37.42492501670023
SK에너지(주) 아라웨이주유소,277496.0829,552428.497,126.61110254838765,37.565957691786195
강화농협주유소,266926.6486,571662.1112,126.48799050116162,37.73773845828407
삼미상사(주)서창셀프주유소,290501.4211,536945.1598,126.76059045822363,37.428109941439985
서일석유(주)북항서일주유소,278870.047,545743.8833,126.62775416053105,37.50592278252256
검단신도시주유소,284624.1708,554622.0135,126.69142497509101,37.586638426719965
㈜명륜석유 청라국제도시주유소,278787.8494,549097.5469,126.62627141780476,37.53612268808781
삼미상사(주)남촌도림셀프주유소,287373.5827,536308.7282,126.7253541504045,37.42200110894268
금광주유소,279686.1577,558219.014,126.63493542599355,37.618408491698844
서강화농업협동조합 내가지점,257512.6715,568015.3872,126.38193390262194,37.70347567443706
